[2022-11-11 21:01:51:1210][main] INFO  c.e.dividends.DividendsApplication - Starting DividendsApplication using Java 11.0.16.1 on jisuui-MacBookAir.local with PID 35119 (/Users/jisukang/Documents/Study/ZeroBase/dividends/build/classes/java/main started by jisukang in /Users/jisukang/Documents/Study/ZeroBase/dividends)
[2022-11-11 21:01:51:1212][main] INFO  c.e.dividends.DividendsApplication - No active profile set, falling back to default profiles: default
[2022-11-11 21:01:52:2605][main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
[2022-11-11 21:01:52:2606][main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
[2022-11-11 21:01:53:2713][main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 100 ms. Found 3 JPA repository interfaces.
[2022-11-11 21:01:53:2736][main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
[2022-11-11 21:01:53:2738][main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
[2022-11-11 21:01:53:2753][main] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport - Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.example.dividends.persist.CompanyRepository. If you want this repository to be a Redis repository, consider annotating your entities with one of these annotations: org.springframework.data.redis.core.RedisHash (preferred), or consider extending one of the following types with your repository: org.springframework.data.keyvalue.repository.KeyValueRepository.
[2022-11-11 21:01:53:2755][main] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport - Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.example.dividends.persist.DividendRepository. If you want this repository to be a Redis repository, consider annotating your entities with one of these annotations: org.springframework.data.redis.core.RedisHash (preferred), or consider extending one of the following types with your repository: org.springframework.data.keyvalue.repository.KeyValueRepository.
[2022-11-11 21:01:53:2755][main] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport - Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.example.dividends.persist.MemberRepository. If you want this repository to be a Redis repository, consider annotating your entities with one of these annotations: org.springframework.data.redis.core.RedisHash (preferred), or consider extending one of the following types with your repository: org.springframework.data.keyvalue.repository.KeyValueRepository.
[2022-11-11 21:01:53:2755][main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 10 ms. Found 0 Redis repository interfaces.
[2022-11-11 21:01:53:3222][main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.security.access.expression.method.DefaultMethodSecurityExpressionHandler@f5cf29b' of type [org.springframework.security.access.expression.method.DefaultMethodSecurityExpressionHandler] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
[2022-11-11 21:01:53:3226][main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'methodSecurityMetadataSource' of type [org.springframework.security.access.method.DelegatingMethodSecurityMetadataSource] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
[2022-11-11 21:01:53:3549][main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
[2022-11-11 21:01:53:3557][main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
[2022-11-11 21:01:53:3557][main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
[2022-11-11 21:01:53:3558][main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.54]
[2022-11-11 21:01:54:3625][main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
[2022-11-11 21:01:54:3626][main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 2307 ms
[2022-11-11 21:01:54:3673][main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
[2022-11-11 21:01:54:3748][main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
[2022-11-11 21:01:54:3752][main] INFO  o.s.b.a.h.H2ConsoleAutoConfiguration - H2 console available at '/h2-console'. Database available at 'jdbc:h2:mem:dividends'
[2022-11-11 21:01:54:3964][main] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
[2022-11-11 21:01:54:3992][main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 5.4.32.Final
[2022-11-11 21:01:54:4077][main] INFO  o.h.annotations.common.Version - HCANN000001: Hibernate Commons Annotations {5.1.2.Final}
[2022-11-11 21:01:54:4138][main] INFO  org.hibernate.dialect.Dialect - HHH000400: Using dialect: org.hibernate.dialect.H2Dialect
[2022-11-11 21:01:54:4556][main] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
[2022-11-11 21:01:54:4561][main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
[2022-11-11 21:01:55:5175][main] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
[2022-11-11 21:01:55:5469][main] INFO  o.s.s.w.DefaultSecurityFilterChain - Will secure Ant [pattern='/h2-console/**'] with []
[2022-11-11 21:01:55:5497][main] INFO  o.s.s.w.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@5feaafb3, org.springframework.security.web.context.SecurityContextPersistenceFilter@7cb38a6a, org.springframework.security.web.header.HeaderWriterFilter@4b518645, org.springframework.security.web.authentication.logout.LogoutFilter@2dbf8cfc, com.example.dividends.security.JwtAuthenticationFilter@7f5ecada, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@3113595e, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@a74c940, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@20a46227, org.springframework.security.web.session.SessionManagementFilter@6d84ab90, org.springframework.security.web.access.ExceptionTranslationFilter@71ac5723, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@8d23cd8]
[2022-11-11 21:01:56:6003][main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
[2022-11-11 21:01:56:6022][main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
[2022-11-11 21:01:56:6048][main] INFO  c.e.dividends.DividendsApplication - Started DividendsApplication in 5.728 seconds (JVM running for 7.42)
[2022-11-11 21:02:19:29527][http-nio-8080-exec-2] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
